Sample,CZ.1,CZ.2,CZ.3,CL1.1,CL1.2,CL1.3
neg_7099_,0.0322,0.0189,0.0312,0.0199,0.0135,0.0472
"neg_712_1,2-Dehydrosalsolinol",0.0426,0.0457,0.0376,0.0156,0.0146,0.007
neg_714_Daphnetin; LC-ESI-QTOF; MS2; CE,0.0849,0.0919,0.0772,0.0225,0.0234,0.0203
pos_12086_7-[(5-amino-6-carboxy-1-hydroxyhexylidene)amino]-7-methoxy-8-oxo-3-{[(3-oxobutanoyl)oxy]methyl}-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid,0.0021,0.0056,0,0.0011,0.0012,0.0012
neg_715_Daphnetin; LC-ESI-QTOF; MS2; CE,0.2533,0.4189,0.1753,0.1751,0.1368,0.1493
neg_7161_Phenazostatin C,0.0164,0.0129,0.0032,0.005,0.0144,0.006
neg_7164_3-(4-methylphenyl)-N-[3-(4-morpholinylsulfonyl)phenyl]-1-phenyl-4-pyrazolecarboxamide,0.0073,0.0043,0.0122,0.0518,0.0563,0.0377
neg_7178_2-({4-[(2-{[(tert-butoxy)carbonyl]amino}-4-(methylsulfanyl)butanamido)methyl]cyclohexyl}formamido)-3-carbamoylpropanoic acid,0.0335,0.0313,0.1574,0.1198,0.0563,0.0695
neg_7200_Levan,0.0406,0.0129,0.0632,0.066,0.1573,0.02
neg_7203_Levan,0.0451,0.0229,0.0896,0.0856,0.2723,0.0264
neg_7204_Levan,0.044,0.0163,0.0644,0.0653,0.1801,0.0192
"neg_7211_(3S,7E,9R)-4,7-Megastigmadiene-3,9-diol 9-[apiosyl-(1->6)-glucoside]",0.8499,0.3296,0.3225,0.1416,0.1423,0.0928
"neg_8179_(3S,7E,9R)-4,7-Megastigmadiene-3,9-diol 9-[apiosyl-(1->6)-glucoside]",0.0915,0.117,0.1703,0.2044,0.1769,0.07
"neg_7215_(3S,7E,9R)-4,7-Megastigmadiene-3,9-diol 9-[apiosyl-(1->6)-glucoside]",1.7449,0.4548,0.6225,0.1662,0.299,0.1011
neg_7217_,0.0635,0.0341,0.0225,0.0279,0.048,0.0085
pos_12185_Isothankunic acid,0.1167,0.1645,0.1104,0.3716,0.2029,0.2937
"neg_7255_2,5,8,11,18,21,24,27-octaoxatricyclo[26.4.0.0??,??]dotriacontane",0.0925,0.0748,0.1208,0.1513,0.1271,0.1206
neg_7260_Melyne C,1.5379,0.436,0.3527,0.0417,1.8838,2.9005
neg_7261_Melyne C,0.0126,0.0034,0.0058,0.0043,0.0155,0.0111
neg_7279_2-[[4-(2-thiophen-2-yl-4-quinazolinyl)-1-piperazinyl]sulfonyl]benzoic acid ethyl ester,0.0067,0.0131,0.0045,0.0507,0.0292,0.0664
neg_7286_UNPD130319,0.0661,0.036,0.088,0.0471,0.0442,0.0181
neg_7288_UNPD160100,0.0246,0.0216,0.06,0.0198,0.0644,0.0114
pos_12303_(+)-N(6)-Hydroxyaphelandrine;(+)-N6-Hydroxyaphelandrine; N6-Hydroxyaphelandrine,0.0556,0.0354,0.0517,0.04,0.0404,0.0484
"neg_7305_1-(11Z,14Z-eicosadienoyl)-glycero-3-phosphate",0.2366,0.0984,0.0106,0.0682,0.1743,0.0975
neg_7307_,0.0411,0.0273,0.0445,0.119,0.0724,0.1006
neg_7308_Siserrone A,0.0228,0.0351,0.0235,0.2177,0.0485,0.1641
neg_7310_UNPD165284,5.0512,3.8692,3.3753,0.3066,0.231,0.289
"neg_7316_3beta,11alpha-Diacetoxy-12-ursene",0.3099,0.0593,0.1347,0.142,0.4949,0.3746
"neg_8288_2,2,6b,9,9,12a,14a-heptamethyl-10,11-dipropanoyl-docosahydropicene-4a-carboxylic acid",0.6596,0.2947,0.2336,0.0338,0.8111,1.1555
pos_12312_CNP0435672,0.1939,0.0902,0.1,0.1923,0.3604,0.4108
"pos_12555_[(3aR,4R,9bS)-4-(hydroxymethyl)-8-(3-methoxyphenyl)-5-methyl-3,3a,4,9b-tetrahydro-2H-pyrrolo[3,2-c]quinolin-1-yl]-(1,3-benzodioxol-5-yl)methanone",0.0393,0.0511,0.0509,0.252,0.2658,0.2502
neg_7341_UNPD116434,0.0181,0.0198,0.0205,0.098,0.0786,0.0508
neg_7352_1-[1-(1-ethylsulfonyl-4-piperidinyl)ethyl]-N-[(4-methoxy-6-methyl-2-oxo-1H-pyridin-3-yl)methyl]-2-methyl-3-indolecarboxamide,0.0567,0.0701,0.0613,0.0166,0.0182,0.0136
neg_7366_UNPD57099,0.8743,0.3772,0.8828,0.0452,1.0921,0.987
neg_7368_UNPD57099,0.3006,0.1812,0.5974,0.0192,1.7304,2.8316
neg_7375_UNPD35727,0.0827,0.0754,0.0268,0.0213,0.0094,0.021
"neg_7379_3,4,5-trihydroxy-6-(2-{5-hydroxy-8,8-dimethyl-2-oxo-2H,8H-pyrano[2,3-f]chromen-4-yl}phenoxy)oxane-2-carboxylic acid",0.1267,0.09,0.0574,0.0198,0.0105,0.0192
neg_789_Genipic acid,0.014,0.0412,0.0029,0.0082,0.0062,0.0111
neg_7435_methyl 3-[7-hydroxy-3-(4-hydroxyphenyl)-4-oxo-4H-chromen-8-yl]-3-(6-methoxy-4-oxo-4H-chromen-3-yl)propanoate,0.0247,0.0248,0.0047,0.0022,0.0062,0.0015
"neg_7441_(+)-Kurramine;Kurramine; O-Demethyl-1,2-dehydroapateline",0.1089,0.0865,0.1269,0.0641,0.0685,0.059
neg_7456_Tsugaric acid C,0.0511,0.0737,0.0534,0.4059,0.2211,0.2579
"pos_13772_2-({2,2-dimethyl-5-oxo-2H,3H,5H,9bH-[1,3]thiazolo[2,3-a]isoindol-3-yl}formamido)-N-(1-hydroxy-3-methylbutan-2-yl)-3-(1H-indol-3-yl)propanamide",0.0089,0.0089,0.0073,0.0422,0.0443,0.0293
neg_7475_,0.0325,0.0186,0.0201,0.1174,0.0807,0.0812
neg_7477_Cucurbitoside G;(-)-Cucurbitoside G,0.044,0.046,0.0227,0.0989,0.0762,0.0481
neg_749_Coniferyl alcohol,0.012,0.0062,0.0041,0.0162,0.0085,0.0883
"neg_7502_10-{2-[2-(4-methoxyphenyl)ethoxy]phenyl}-3-phenyl-4H,8H,9H,10H-pyrano[2,3-h]chromene-4,8-dione",0.0078,0.0191,0.0101,0.0233,0.0709,0.0139
pos_10240_Heteroclitin D,0.3468,0.1663,0.035,0.1267,0.306,0.1923
"neg_7504_10-[3-methoxy-2-(2-phenylethoxy)phenyl]-3-phenyl-4H,8H,9H,10H-pyrano[2,3-h]chromene-4,8-dione",0.0503,0.0646,0.0034,0.054,0.089,0.0543
"neg_7510_6S,9R-Dihydroxy-4,7E-megastigmadien-3-one 9-[apiosyl-(1->6)-glucoside]",0.0288,0.0191,0.0242,0.0679,0.0427,0.0295
"neg_8584_3b,6a-Dihydroxy-alpha-ionol 9-[apiosyl-(1->6)-glucoside]",0.3394,0.4807,0.2227,0.1166,0.1646,0.0972
neg_7523_,0.2417,0.6098,0.3107,0.0967,0.1704,0.0979
neg_7524_,0.053,0.0515,0.0523,0.4954,0.3934,0.4584
neg_753_Coniferyl alcohol,0.0107,0.0031,0.0056,0.0224,0.0027,0.0083
neg_7531_,0.014,0.0162,0.0184,0.0096,0.013,0.023
"pos_13335_3b,6a-Dihydroxy-alpha-ionol 9-[apiosyl-(1->6)-glucoside]",0.4429,0.4498,0.4259,1.574,2.5958,1.3432
neg_754_Stilbene,0.0295,0.0082,0.0038,0.0064,0.0017,0
neg_7562_UNPD70958,0.0108,0.0032,0.0085,0.0036,0.0046,0.0047
"neg_7581_7,8-Dihydro-3b,6a-dihydroxy-alpha-ionol 9-[apiosyl-(1->6)-glucoside]",0.0828,0.092,0.1143,0.0493,0.0973,0.0139
neg_7609_Artelein,0.0098,0.0263,0.0195,0.0342,0.0377,0.0119
neg_7610_UNPD176935,0.131,0.0272,0.0189,0.1099,0.2011,0.1007
neg_7612_N-[2-(1H-indol-3-yl)ethyl]-3-methyl-2-{[1-(4-methylbenzenesulfonyl)piperidin-4-yl]formamido}butanamide,0.0227,0.0347,0.0327,0.0083,0.0143,0.0072
"neg_7621_24R-Acetoxy-3beta,25-dihydroxycycloartane",0.0693,0.1166,0.0554,0.7664,0.5582,0.483
neg_7627_Flavidulol D,0.434,0.3423,0.7004,0.1918,0.1241,0.2068
neg_763_,0.0671,0.099,0.0248,0.1659,0.1077,0.1023
pos_12258_Phloroacetophenone 6'-[xylosyl-(1->6)-glucoside],0.0151,0.0216,0.0104,0.0217,0.0132,0.0148
neg_764_CNP0427806,0.0307,0.0301,0.025,0.0653,0.1173,0.039
neg_7642_Estriol 3-sulfate 16-glucuronide,0.0036,0.0095,0.0082,0.0122,0.004,0.0072
neg_7644_CNP0449404,0.0408,0.0401,0.0493,0.0095,0.0075,0.0084
neg_7666_,0.2245,0.1179,0.2352,0.0292,0.3232,0.4564
neg_7679_Glimepiride,0.013,0.0087,0.0252,0.0594,0.0373,0.0703
"neg_7680_3-(5-hydroxy-1H-indol-3-yl)-2-(3-{7-methyl-5-oxo-4,17-dioxatetracyclo[8.7.0.0?,?.0??,??]heptadeca-1(10),2,6,8,11(16)-pentaen-6-yl}propanamido)propanoic acid",0.0667,0.0334,0.0263,0.0141,0.0109,0.0082
"neg_7684_N-(carbamoylmethyl)-2-(2-{[6-ethyl-3-(4-methyl-1,3-thiazol-2-yl)-4-oxo-4H-chromen-7-yl]oxy}propanamido)-4-methylpentanamide",0.0033,0.0078,0.0207,0.4632,0.1663,0.2663
neg_7685_3'-Hydroxy-T2 Toxin,0.0081,0.017,0.003,0.0362,0.0382,0.0225
"pos_13738_5-hydroxy-2,8-dimethyl-6-oxo-2-(piperidin-4-yl)-2H,3H,4H,6H-pyrano[3,2-g]chromen-3-yl 3-{3-[(diaminomethylidene)amino]propyl}-2-methyloxirane-2-carboxylate",7.00E-04,0.0053,0.0074,0.2412,0.2355,0.171
neg_7692_Physapubenolide,0.0313,0.0171,0.0589,0.069,0.0854,0.0414
neg_7702_Uvidin-A lactarinate,0.7342,0.5021,0.8409,0.0558,1.9296,4.0142
neg_8112_UNPD103287,0.3311,0.7552,0.2135,3.8496,2.5676,2.0252
pos_12366_UNPD20120,0.0196,0.0257,0.0182,0.1966,0.2447,0.2281
neg_7709_UNPD113393,0.6183,0.4099,0.8782,0.958,1.2351,1.3946
neg_7711_UNPD62593,0,0.0054,0.0096,0.0021,0.002,0
pos_12990_,0.0082,0.011,0.0076,0.0016,0.0017,0.0011
pos_13029_Scuterivulactone C1,0.0246,0.0358,0.0307,0.0196,0.0276,0.0218
neg_773_Galactitol,0.0515,0.0425,0.0435,0.026,0.0326,0.0192
neg_7733_Peloruside A,0.0679,0.0742,0.0755,0.2179,0.18,0.1504
pos_17145_N-pentadecylcyclohexanecarboxamide,0.0322,0.0455,0.0687,0.0253,0.0422,0.0349
neg_7741_UNPD110013,0.1143,0.1963,0.2289,0.2075,0.2244,0.2076
neg_7753_Lignocerylferulate,0.985,0.74,0.7063,0.1776,1.7111,1.032
neg_7754_Lignocerylferulate,1.2508,0.8727,7.7179,0.0953,0.9381,1.0178
neg_7756_Lignocerylferulate,0.4844,0.1982,0.341,0.0407,0.5164,0.6911
neg_7758_Lignocerylferulate,0.3834,0.2187,0.8989,0.0341,0.3874,0.3228
neg_7760_Lignocerylferulate,1.8367,0.4934,0.9726,0.1424,1.1157,0.9337
pos_13075_3-(4-methoxyphenyl)-4-methyl-2-oxo-2H-chromen-7-yl 5-methoxy-2-phenyl-1-benzofuran-3-carboxylate,0.0438,0.0263,0.0094,0.0648,0.1501,0.0709
"pos_12632_N-[(furan-2-yl)methyl]-2-[7-hydroxy-8-(hydroxymethyl)-4a,8-dimethyl-2-[(pyridin-3-yl)amino]-4H,4aH,5H,6H,7H,8H,8aH,9H-naphtho[2,3-d][1,3]thiazol-4-yl]acetamide",0.236,0.3482,0.3553,0.2214,0.2701,0.2841
neg_777_UNPD200887,0.009,0.0151,0.0062,0.0106,0.0114,0.0106
"neg_7772_N-[7-hydroxy-8-(hydroxymethyl)-4a,8-dimethyl-4-{[(1,3-thiazol-2-yl)carbamoyl]methyl}-4H,4aH,5H,6H,7H,8H,8aH,9H-naphtho[2,3-d][1,3]thiazol-2-yl]cyclohexanecarboxamide",0.0129,0.0123,0.0214,0.0909,0.0744,0.0402
neg_7775_Zizyvoside I,0.0188,0.0156,0.0095,0.0779,0.0788,0.06
neg_7777_Cereusitin A,0.0148,0.0353,0.0139,0.192,0.1581,0.0821
neg_7778_Zizyvoside I,0.0123,0.0165,0.0132,0.1243,0.1359,0.08
neg_778_Neryl formate,0.0125,0.0075,0.0117,0.094,0.0751,0.1
neg_7785_3-O-(alpha-L-olivosyl)erythronolide B,0.032,0.0214,0.0291,0.2092,0.1738,0.1926
"neg_7786_1alpha,25-dihydroxy-22-oxavitamin D3 3-hemiglutarate/ 1alpha,25-dihydroxy-22-oxacholecalciferol 3-hemiglutarate",0.0225,0.0315,0.0249,0.0452,0.0409,0.041
neg_7788_FD 892,0.7608,0.7577,0.4519,1.027,0.9257,1.1106
neg_779_6-(3-Hexenyl)tetrahydro-2H-pyran-2-one,0.0071,0.0037,0.0084,0.0313,0.0187,0.1
"neg_7808_1-(3-cyanophenyl)-3-(6-{5-[3-(morpholin-4-yl)phenoxy]-1H-1,2,3,4-tetrazol-1-yl}-hexahydrofuro[3,2-b]furan-3-yl)thiourea",0.013,0.0052,0.008,0.0479,0.1193,0.0112
pos_13768_Isosyringinoside,0.0277,0.0207,0.0206,0.0194,0.0113,0.0184
neg_7820_UNPD103860,0.0178,0.0303,0.0275,0.07,0.0854,0.0445
neg_7824_Antimycin A8a,0.0168,0.0189,0.0036,0.0104,0.0109,0.0085
"pos_13778_7,8-Dihydrovomifoliol 9-[rhamnosyl-(1->6)-glucoside]",0.0525,0.0559,0.5383,0.0163,0.0082,0.0034
"neg_7829_7,8-Dihydrovomifoliol 9-[rhamnosyl-(1->6)-glucoside]",0.0187,0.0254,0.0237,0.121,0.2144,0.0567
"neg_7840_(3b,24R,25x)-26-Benzoyloxystigmast-5-ene-3-ol",0.0526,0.0512,0.0933,0.006,0.071,0.0465
neg_8719_,0.2339,0.0909,0.0912,0.0087,0.2701,0.3697
neg_785_Polystyrene sulfonate,0.3693,0.5366,0.3919,0.0015,0,0.0016
neg_7864_Asystasioside D,0.1148,0.0561,0.1612,0.0263,0.0252,0.0106
"neg_7866_N-(9-ethyl-9H-carbazol-3-yl)-2-({19-oxo-1,11-diazapentacyclo[10.7.1.0?,?.0?,??.0??,??]icosa-2,4,6,8,10,12(20),13,15,17-nonaen-5-yl}oxy)ethanimidic acid",0.0158,0.0127,0.0102,0.011,0.0182,0.0105
neg_7869_UNPD138222,0.0298,0.0704,0.077,0.0437,0.0442,0.0337
neg_9964_Momordicoside L,0.0324,0.036,0.0367,0.9869,0.5906,0.9477
neg_7905_Citrusin A,0.0139,0.0167,0.0284,0.0179,0.0206,0.0194
neg_8135_Eriojaposide A,0.0918,0.3106,0.3099,0.0653,0.0658,0.0505
neg_7914_UNPD210911,0.0794,0.1384,0.1025,0.0871,0.0718,0.0428
neg_7937_Fasmerianamine A,0.005,0.0106,0.0081,0.0026,0.0066,0.004
neg_7944_Oleuropein,0.0235,0.0401,0.0098,0.0333,0.0268,0.0327
neg_7950_Sambacin,0.0219,0.0151,0.0442,0.4165,0.4553,0.2768
neg_7951_Glaucarubol 15-O-beta-D-glucopyranoside,0.0304,0.0169,0.0353,0.1353,0.1608,0.0391
pos_13966_Erizomycin;NSC 246134,0.0255,0.021,0.0255,0.0589,0.0807,0.0501
pos_2444_Spathulenol,0.0203,0.0185,0.0262,0.5462,0.3979,0.5869
"neg_7983_9-(2,3-dihydroxypropyl)-4-(ethylamino)-13-hydroxy-10-[(3-hydroxyphenyl)methyl]octadeca-9,11-dienoic acid",0.6942,0.7977,0.2993,0.4125,0.4562,0.2932
neg_7987_,0.0039,0.0129,0.0044,0.0111,0.0153,0.0058
"neg_7998_N-[(furan-2-yl)methyl]-2-[7-hydroxy-8-(hydroxymethyl)-4a,8-dimethyl-2-[(pyridin-3-yl)amino]-4H,4aH,5H,6H,7H,8H,8aH,9H-naphtho[2,3-d][1,3]thiazol-4-yl]acetamide",0.0122,0.0167,0.01,0.2373,0.1554,0.1836
pos_12464_UNPD150213,0.3773,0.3878,0.3723,0.0443,0.0644,0.1338
neg_8002_CNP0437597,0.0102,0.009,0.0123,0.0727,0.0632,0.0661
pos_12826_Esterastin,0.3938,0.6554,0.7341,0.0986,0.3471,0.375
neg_802_Citronellyl formate,0.0075,0.0065,0.0074,0.009,0.0049,0.0092
neg_8020_UNPD179507,0.1906,0.2275,0.1202,1.1345,0.7222,0.7594
"neg_8036_19-Z-Gardfloramine-9-O-beta-D-glucopyranoside, (rel)-",0.0083,0.0116,0.0138,0.0287,0.0365,0.0241
neg_8044_Cinncassiol A 19-glucoside,0.0187,0.0147,0.0297,0.2192,0.126,0.1497
neg_8046_2-{[1-(2-{[(tert-butoxy)carbonyl]amino}-3-(1H-indol-3-yl)propanoyl)piperidin-4-yl]formamido}pentanedioic acid,0.0109,0.0161,0.0324,0.1561,0.111,0.1121
neg_8048_Cinncassiol A 19-glucoside,0.0054,0.0108,0.0142,0.0987,0.1069,0.0675
neg_8053_Armochaetoglasin C,0.0236,0.015,0.0172,0.4585,0.1025,0.5931
neg_8058_UNPD45410,0.114,0.0961,0.1545,0.3929,0.4092,0.6056
neg_8059_UNPD179507,0.3352,3.3798,0.2968,0.8781,0.5518,0.6128
neg_8074_Homoharringtonine;(-)-Homoharringtonine,0.021,0.2588,0.0033,0.0063,0.011,0.0081
neg_8075_Luteosporin,0.1998,0.3043,0.4192,0.1091,0.092,0.0667
neg_8076_Luteosporin,0.3269,0.6897,0.3529,0.0827,0.0636,0.0672
neg_8077_Palmidin A,0.0032,0.002,0.0038,0.0108,0.0254,0.0099
neg_8079_UNPD114740,0.0312,0.0234,0.0424,0.0828,0.0631,0.0325
neg_8085_Seguinoside J;(-)-Seguinoside J,0.0205,0.0227,0.025,0.0127,0.0102,0.0064
neg_809_1-Naphthaleneacetic acid,0.0151,0.0144,0.0116,0.0138,0.0247,0.012
neg_8090_Canavalioside,0.0074,0.0072,0.0038,0.0803,0.0772,0.0486
neg_8093_Nupharpumilamine D,0.0185,0.0094,0.0102,0.1277,0.1092,0.0815
neg_8111_UNPD101090,0.4499,1.7284,0.6834,2.1291,0.9791,0.7214
pos_1149_5-(2-Methylpropyl)tetrahydro-2-oxo-3-furancarboxylic acid,0.958,0.6252,0.9487,0.5945,0.2702,1.1287
pos_14182_Sibiricose A1,0.0031,0.0052,0.0034,0.0506,0.0227,0.0452
pos_12838_2-({1-[2-(methylsulfanyl)acetyl]-3-{[(prop-2-en-1-yl)carbamoyl]amino}pyrrolidin-2-yl}formamido)-5-[2-(methylsulfanyl)acetamido]pentanamide,0.1104,0.1068,0.1916,0.0073,0.0051,0.0037
"neg_8140_6,16-dibutylidene-12-{4-hydroxy-[1,1'-biphenyl]-2-yl}-5,15-dioxapentacyclo[9.5.2.0?,??.0?,??.0?,?]octadeca-3(7),12-diene-4,14-dione",0.019,0.0141,0.0241,0.0118,0.0111,0.0137
neg_8141_Probestin,0.0149,0.0126,0.0046,0.0944,0.076,0.0327
neg_8148_Pestalpolyol D,0.2839,1.1059,1.323,0.457,0.2703,0.3841
neg_8152_Pestalpolyol D,0.1608,0.1159,0.1371,0.036,0.178,0.1936
neg_8159_Obochalcolactone;(-)-Obochalcolactone,0.0292,0.0233,0.0112,0.0321,0.05,0.0288
"neg_8169_Methyl 3,4,5-trimethoxycinnamate",0.0413,0.019,0.05,0.0058,0.0087,0.007
pos_14404_,0.0748,0.3257,0.3498,0.0457,0.068,0.0264
neg_8425_Cinncassiol D4 2-glucoside,7.00E-04,0.001,0.0076,0.0838,0.0519,0.052
pos_13056_Cofaryloside,0.001,0.001,0.0017,0.0943,0.1384,0.0664
"pos_13061_(1R*,ZR*,3E,7R*.8E,llR*,l2S*)-3.8-dolabelladiene-2,7,16,18-tetrol-7-O-beta-D-glucopyranoside",0.1246,0.1023,0.0968,0.1683,0.2516,0.2059
neg_8221_3-O-(alpha-L-olivosyl)oleandolide,0.0135,0.008,0.0103,0.0076,0.0085,0.006
"neg_825_7-Ethyl-3,6-dihydro-1,4-dimethylazulene",0.003,0.0038,0.0068,0.138,0.1133,0.1629
"neg_8257_4-[(1,5-dimethyl-3-oxo-2-phenyl-2,3-dihydro-1H-pyrazol-4-yl)(2,4-dinitrophenyl)methyl]-1,5-dimethyl-2-phenyl-2,3-dihydro-1H-pyrazol-3-one",0.0126,0.0142,0.0172,0.0161,0.0349,0.0182
neg_8258_UNPD57683,0.0054,0.0074,0.012,0.0205,0.0248,0.0159
neg_8267_Blumenol C O-[rhamnosyl-(1->6)-glucoside],0.0034,0,0.0082,0.002,3.00E-04,0
neg_8708_Forskoditerpenoside A;(+)-Forskoditerpenoside A,0.2126,0.231,0.3432,0.7654,0.7821,0.7491
neg_8285_UNPD126842,0.4762,0.2183,0.1587,0.0291,0.5745,1.0491
"neg_8287_2,2,6b,9,9,12a,14a-heptamethyl-10,11-dipropanoyl-docosahydropicene-4a-carboxylic acid",0.2326,0.1254,0.1156,0.0162,0.3946,0.8023
neg_9678_Dieporeticenin,0.0828,0.1274,0.0899,0.4214,0.2389,0.3628
neg_8304_Ephedrannin A,0.0193,0.0308,0.1641,0.0738,0.0342,0.0407
neg_8305_Aurasperone D,0.0401,0.0265,0.0343,0.0415,0.0788,0.0374
neg_8342_,1.5865,1.0375,1.0084,0.0648,1.3537,1.596
neg_836_Armillariol B,0.1017,0.0621,0.0465,0.1566,0.1966,0.1432
neg_8368_3'-Hydroxyvestitol-(4->5')-vestitol,0.1064,0.2284,0.3136,0.0554,0.0471,0.0401
pos_2128_Tuberonic acid,0.2332,0.7335,0.3827,0.0683,0.027,0.0715
neg_8397_Hexacosyl trans-ferulate;n-Hexacosyl trans-ferulate,0.9201,0.6137,0.4921,0.0637,0.577,0.3831
neg_8398_Tenuiphenone C;(+)-Tenuiphenone C,0.5144,0.4583,0.2485,0.0481,0.4698,0.3641
neg_8399_Chatenaytrienin 2,0.9528,0.6867,0.7122,0.1675,1.3333,0.8457
neg_8400_UNPD124236,0.7108,0.5488,0.5094,0.1332,0.5177,0.8027
neg_8401_FAHFA(16:1(9Z)/13-O-18:0),2.7366,1.6981,1.568,0.221,1.566,1.6035
neg_8403_Hexacosyl trans-ferulate;n-Hexacosyl trans-ferulate,0.3469,0.2723,0.1245,0.0336,0.2997,0.2775
neg_8420_Cichorioside L,0.0182,0.1298,0.1918,0.2799,0.2764,0.136
neg_8426_UNPD219499,0.1419,0.7495,0.0515,0.329,0.2844,0.2146
neg_8427_UNPD219499,0.0029,0.0038,0.0076,0.0838,0.1011,0.052
neg_8443_3-O-D-glucosyl-brassicasterol,0.2979,0.7906,0.2281,2.4542,1.2294,1.9416
neg_8444_3-O-D-glucosyl-brassicasterol,0.5001,0.9149,1.2309,2.2815,2.4391,1.6
neg_8447_Asimilobin,0.2075,0.2993,0.4527,0.1161,0.1969,0.118
neg_8473_C00051433,0.0103,0.0143,0.0104,0.0087,0.0019,0
neg_8474_19-Hydroxycinnzeylanol 19-glucoside,0.0155,0.0231,0.0876,0.0496,0.0384,0.0359
pos_7988_T2 Triol,0.0134,0.0119,0.0074,0.541,0.4024,0.3379
neg_9431_UNPD19508,0.0314,0.0385,0.0261,1.1088,0.8118,1.1011
pos_13378_Botryolin A,0.6589,0.5262,0.3204,1.1868,2.232,1.6056
neg_8509_Apiin,4.00E-04,0.01,0.0098,0.0518,0.1076,0.0832
neg_8516_Xylobiose,2.1393,1.4815,2.5022,0.382,0.1758,1.5966
neg_8521_kanamycin A 3'-phosphate,0.1578,0.1798,0.1608,0.0137,0.0202,0.022
neg_8527_LSM-11893,0.0673,0.1336,0.3627,0.0851,0.1291,0.0812
neg_8531_Physapubenolide,0.0054,0.0091,0.0219,0.0034,0.0039,0.0047
pos_12079_13-(beta-D-glucosyloxy)docosanoic acid,0.9716,1.0942,0.3251,0.1957,0.1471,0.2479
"neg_8552_DG(18:2(9Z,12Z)/14:0/0:0)",0.9502,1.9234,1.2977,1.1469,0.6848,0.7147
neg_8553_Reticulatamone,0.2011,0.4003,0.2285,0.2079,0.318,0.3035
neg_8567_Quercetin 3-apiosyl-(1->2)-alpha-L-arabinopyranoside,0.0042,0.0075,0.0124,0.0593,0.1267,0.0269
"neg_8573_4-carbamoyl-2-{4-carbamoyl-2-[2-(2,4-dioxo-1,2,3,4-tetrahydroquinazolin-3-yl)-3-phenylpropanamido]butanamido}butanoic acid",0.0097,0.0231,0.0098,0.0983,0.0912,0.0555
neg_8577_Physapubenolide,0.02,0.0188,0.0171,0.0314,0.0478,0.0275
"neg_8580_1,5,9-trimethyl-11,14,15,16-tetraoxatetracyclo[10.3.1.0?,??.0?,??]hexadecan-10-yl 3-({4-[(2,5-dioxopyrrolidin-1-yl)oxy]-4-oxobutyl}carbamoyl)propanoate",0.0522,0.0317,0.0741,0.101,0.0922,0.0806
"pos_13332_3b,6a-Dihydroxy-alpha-ionol 9-[apiosyl-(1->6)-glucoside]",0.0975,0.0876,0.119,0.2238,0.2251,0.1502
neg_8592_UNPD96820,0.0186,0.0331,0.027,0.1382,0.1414,0.1297
"neg_8607_LysoPC(22:6(4Z,7Z,10Z,13Z,16Z,19Z))",0.0448,0.0853,0.0562,0.0699,0.1296,0.0363
neg_861_,0.0139,0.0099,0.0306,0.0921,0.0759,0.1243
pos_13406_Isolariciresinol 9'-O-beta-D-glucoside,0.5109,0.2284,0.4078,0.0939,0.057,0.0779
neg_8620_,0.0347,0.0373,0.0533,0.0509,0.0775,0.039
neg_8623_,0.0302,0.0375,0.038,0.1043,0.0903,0.0661
neg_8624_Multifidoside C;(-)-Multifidoside C,0.0594,0.077,0.1513,0.1518,0.124,0.1166
"neg_8626_7,8-Dihydro-3b,6a-dihydroxy-alpha-ionol 9-[apiosyl-(1->6)-glucoside]",0.0418,0.0465,0.0675,0.0435,0.0558,0.0187
"pos_14225_7,8-Dihydro-3b,6a-dihydroxy-alpha-ionol 9-[apiosyl-(1->6)-glucoside]",0.0048,0.0074,0.0068,0.2391,0.2361,0.1122
neg_8632_Sedumoside E2;(-)-Sedumoside E2,0.2356,0.1707,0.9298,0.005,0.0064,0.0063
neg_8640_,0.1698,0.2645,1.3566,0.1293,0.0174,0.0978
"neg_8652_2-(6-{2,4-dihydroxy-3-[(1E)-3-methylbut-1-en-1-yl]benzoyl}-5-(2,4-dihydroxyphenyl)-5-hydroxy-3-methylcyclohex-2-en-1-yl)benzene-1,3-diol",0.1072,0.114,0.0503,0.0269,0.0195,0.0163
neg_8655_Apiumoside,0.0202,0.0107,0.0019,0.0126,0.0239,0.0147
"neg_8675_2-{4-hydroxy-9-[4-(5-hydroxy-6-methylpiperidin-2-yl)-2-[(methylamino)methyl]butyl]-1-methyl-2,14-diazabicyclo[11.3.1]heptadec-10-yn-4-yl}acetic acid",0.0199,0.0172,0.014,0.0597,0.0376,0.0552
neg_868_CNP0445852,0.0501,0.2696,0.0759,0.0647,0.0364,0.0787
neg_869_Scopoletin,0.0972,0.1779,0.0272,0.0203,0.0137,0.0136
neg_8692_,0.0092,0.0074,0.008,0.0199,0.0355,0.0101
neg_8702_4-[(4-ethoxyphenyl)sulfonylamino]-N-[[3-methyl-1-phenyl-5-(1-pyrrolidinyl)-4-pyrazolyl]methylideneamino]benzamide,0.0301,0.0539,0.0783,0.031,0.0519,0.0303
neg_8704_({2-[(1-{[2-(diphenylphosphoroso)ethoxy]methyl}cyclobutyl)methoxy]ethyl}(phenyl)phosphoroso)benzene,0.055,0.095,0.1872,0.0177,0.0324,0.0106
